"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbols"
"ENSG00000182022 - CHST15",28.1276701011732,-0.0367056855202082,0.674807865782831,-0.0543942763287543,0.95662103893361,0.999908244820626," CHST15"
"ENSG00000077274 - CAPN6",36.7438755270362,-0.0367141859213353,0.59548095979722,-0.0616546764716669,0.950837834196318,0.999908244820626," CAPN6"
"ENSG00000120685 - PROSER1",259.03859389277,-0.0367211526895016,0.112477644882613,-0.326475120703546,0.744064909814157,0.98217956896644," PROSER1"
"ENSG00000074966 - TXK",5.8715865451719,-0.0369041518227233,0.557492512445838,-0.0661966770832795,0.947221242277274,0.999908244820626," TXK"
"ENSG00000197045 - GMFB",806.435032003448,-0.0369459398103115,0.167667499214392,-0.220352423596834,0.825596695202633,0.993731872144779," GMFB"
"ENSG00000188677 - PARVB",36.3597422453323,-0.0369486918755456,0.551724299529763,-0.0669694844092187,0.946605996557814,0.999908244820626," PARVB"
"ENSG00000135390 - ATP5MC2",1667.9731833865,-0.0370206717729096,0.112224423408039,-0.329880703760049,0.741490104293137,0.98217956896644," ATP5MC2"
"ENSG00000197323 - TRIM33",229.920086760122,-0.0371411134673938,0.0960363827831613,-0.386740029049761,0.698948678729947,0.975521160872752," TRIM33"
"ENSG00000215717 - TMEM167B",326.299588191307,-0.0371803902027511,0.068901682679941,-0.539615126316432,0.589462482757144,0.960836829244324," TMEM167B"
"ENSG00000165025 - SYK",516.330589219367,-0.0372023975987244,0.201424982825189,-0.184696044536895,0.85346744880494,0.994814968181671," SYK"
"ENSG00000087053 - MTMR2",383.115100892438,-0.037260313999952,0.181480893346719,-0.205312599650731,0.837327900645698,0.993731872144779," MTMR2"
"ENSG00000109654 - TRIM2",571.592675258503,-0.0372813448146637,0.157617878994704,-0.236529923206976,0.813021490545014,0.993731872144779," TRIM2"
"ENSG00000188938 - FAM120AOS",876.49521837417,-0.0373958082986399,0.112583751219944,-0.332159906677681,0.739768516470456,0.98217956896644," FAM120AOS"
"ENSG00000187860 - CCDC157",8.55403263577532,-0.0375052665635174,0.392007009361124,-0.0956749896504193,0.923778705125117,0.999657169520936," CCDC157"
"ENSG00000182372 - CLN8",138.099895983484,-0.0375067151064211,0.140970377224924,-0.266060968586171,0.790192254417408,0.990900450422931," CLN8"
"ENSG00000214253 - FIS1",787.117861858871,-0.0375194009571022,0.0881493786104343,-0.425634321518189,0.670374327023254,0.972239557203551," FIS1"
"ENSG00000227057 - WDR46",59.876511129884,-0.0375574204113886,0.696749445976044,-0.0539037678871436,0.957011834692658,0.999908244820626," WDR46"
"ENSG00000125875 - TBC1D20",387.432744034592,-0.0376184328041414,0.11738779005771,-0.320462910032189,0.748617442489147,0.98217956896644," TBC1D20"
"ENSG00000144749 - LRIG1",147.950300879296,-0.0376706425973007,0.222916048423435,-0.168990267249598,0.865804296907954,0.995466222662396," LRIG1"
"ENSG00000173120 - KDM2A",697.302046408516,-0.0376877731376309,0.10510381170481,-0.358576654132003,0.71991181418517,0.977596620569818," KDM2A"
"ENSG00000029364 - SLC39A9",717.261915533157,-0.0376920417989077,0.0994779911943306,-0.378898300482126,0.704763386294271,0.976005713741619," SLC39A9"
"ENSG00000091542 - ALKBH5",569.253910735817,-0.0377185445638514,0.0726448432950132,-0.51921847240657,0.603608398767258,0.961096664629612," ALKBH5"
"ENSG00000198380 - GFPT1",2065.99292285862,-0.0377636786763425,0.138509263575118,-0.272643704122087,0.78512711316036,0.990071212789728," GFPT1"
"ENSG00000167515 - TRAPPC2L",268.559128223052,-0.0377930112459355,0.121223354299822,-0.31176345073295,0.755220302643749,0.982866170522059," TRAPPC2L"
"ENSG00000139324 - TMTC3",87.1194548638271,-0.0378286297640191,0.155515052020933,-0.243247385204405,0.807813760877449,0.993593606309393," TMTC3"
"ENSG00000149212 - SESN3",125.027035742824,-0.0378550900406782,0.38563947579184,-0.098161864687088,0.921803763742416,0.9993611239921," SESN3"
"ENSG00000178761 - FAM219B",271.775516359627,-0.0378657128481752,0.125995011268156,-0.300533429594172,0.763770301101249,0.984698642978614," FAM219B"
"ENSG00000115685 - PPP1R7",773.048320575112,-0.0378984717251342,0.0800634469684977,-0.473355484432815,0.63595958341578,0.967303262892813," PPP1R7"
"ENSG00000112062 - MAPK14",647.59644846573,-0.037900958857071,0.0907704922984164,-0.417547133406175,0.676278256432191,0.973298495825981," MAPK14"
"ENSG00000214114 - MYCBP",549.855410167973,-0.0379476025080443,0.109353183255902,-0.347018727559502,0.728577249443371,0.980443486024327," MYCBP"
"ENSG00000173436 - MICOS10",1168.09546125554,-0.0380046154234488,0.107319508561797,-0.354125880119596,0.723244547659438,0.977894554430976," MICOS10"
"ENSG00000185262 - UBALD2",1135.14573441147,-0.0380505083485366,0.151376288827002,-0.251363728384317,0.801532908145142,0.993593606309393," UBALD2"
"ENSG00000054148 - PHPT1",500.735296676554,-0.0380786956295886,0.112081363875149,-0.339741544116162,0.734051172967787,0.980936803065804," PHPT1"
"ENSG00000054282 - SDCCAG8",40.8297816805044,-0.0381403196771489,0.269269319754865,-0.141643762876033,0.887361397627849,0.997742940571375," SDCCAG8"
"ENSG00000088970 - KIZ",33.7474836613055,-0.038182455531411,0.263037814281262,-0.145159568162254,0.884584887684305,0.997553923766461," KIZ"
"ENSG00000205220 - PSMB10",1132.72560476163,-0.0382085131713477,0.156221102003935,-0.244579718624602,0.806781869379747,0.993593606309393," PSMB10"
"ENSG00000011258 - MBTD1",102.26752326588,-0.0382204409655544,0.121860556906584,-0.313640786943502,0.753793877991734,0.982866170522059," MBTD1"
"ENSG00000102362 - SYTL4",208.446020620384,-0.0383158964362238,0.192040592832762,-0.19951977793357,0.841856173804985,0.993833817525045," SYTL4"
"ENSG00000136068 - FLNB",12342.5305685662,-0.0384114537338528,0.157720124803538,-0.24354186748013,0.807585655663119,0.993593606309393," FLNB"
"ENSG00000178229 - ZNF543",9.73833816562589,-0.0384539153733148,0.37497271130393,-0.102551236967605,0.918319145962606,0.998841153975277," ZNF543"
"ENSG00000143479 - DYRK3",7.24549441141452,-0.0385064621818916,0.546864312003961,-0.0704131927000068,0.943864791055922,0.999908244820626," DYRK3"
"ENSG00000143252 - SDHC",1082.03769832516,-0.0385218575906062,0.118382118516073,-0.325402671226701,0.74487633408646,0.98217956896644," SDHC"
"ENSG00000100802 - C14orf93",74.33292790088,-0.0385256879748474,0.12591201841699,-0.305973079132602,0.759625143145508,0.983328028910594," C14orf93"
"ENSG00000164162 - ANAPC10",24.764313139408,-0.0385344777293089,0.194038485694575,-0.198591931860177,0.842581965350396,0.993833817525045," ANAPC10"
