"","X","WS12.2","WS14.2","WS17.2","WS18.2","WS2.2","WS21.2","WS23.2","WS24.2","WS27.2","WS32.2","WS33.2","WS34.2","WS36.2","WS37.2","WS38.2","WS39.2","WS4.2","WS40.2","WS42.2","WS43.2","WS47.2","WS5.2","WS6.2","WS8.2","WS9.2","Ensembl"
"ENSG00000144061 - NPHP1","NPHP1",13,9,0,1,4,10,1,6,3,5,3,9,1,2,10,11,0,6,7,3,7,0,6,24,3,"ENSG00000144061"
"ENSG00000144063 - MALL","MALL",46186.74,16243.651,12639.667,30126.405,31157.539,18328.91,14089.493,17701.081,6670,8221,35144,28678.956,17525.97,15049.957,14862.429,26265.977,25175.951,24453,27075,17882.426,25045.788,41248.331,22639.126,47977.654,19077.664,"ENSG00000144063"
"ENSG00000144115 - THNSL2","THNSL2",502.999,536.001,234.001,264.001,563,443.999,219,232,60,153.999,215.999,883.001,111.999,31.999,333,185.998,257,194.001,352.001,218.001,328,633,110.999,272.999,127.999,"ENSG00000144115"
"ENSG00000144118 - RALB","RALB",5767,1862,1837.999,4224.999,5118,3247,2339.999,2047,1334,1582.001,4338.001,5334,2546.999,2097,3033,5363,3612,4232.001,4367.001,1689,2627,4479.001,3866,10380.001,2521.999,"ENSG00000144118"
"ENSG00000144119 - C1QL2","C1QL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000144119"
"ENSG00000144120 - TMEM177","TMEM177",360,194.999,97,134,319,373,176,193,133,131,289,568,355,121,469,542,299,323,312.001,210.999,152,270,286,1118,173.999,"ENSG00000144120"
"ENSG00000144130 - NT5DC4","NT5DC4",0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,2,0,1,0,"ENSG00000144130"
"ENSG00000144134 - RABL2A","RABL2A",57.068,98.921,26.941,59.384,77.658,46.739,37.533,35.453,21.709,23.462,65.308,151.82,59.286,23.157,93.382,169.372,72.278,98.61,125.138,48.282,41.573,77.614,51.29,249.515,35.799,"ENSG00000144134"
"ENSG00000144136 - SLC20A1","SLC20A1",9964,1298,1981,2576.001,3703.001,3103,1505.999,2369,805,1026,3075.999,4149,1905,1750.001,1479,5542,4069.001,4074.999,2831.001,1995.999,3117,3181.999,2399.999,5584.001,1387,"ENSG00000144136"
"ENSG00000144152 - FBLN7","FBLN7",14,16,0,6,2,6,0,1,9,7,5,17,0,0,5,2,0,13,2,1,8,0.993,0,0,1,"ENSG00000144152"
"ENSG00000144161 - ZC3H8","ZC3H8",106.004,74.999,19.999,41,56,77.001,13,33.001,37.985,48,33.001,137,94,12,104,198.999,62,89,88.006,80,32,76,56.001,264,36,"ENSG00000144161"
"ENSG00000144182 - LIPT1","LIPT1",102.008,44,13,25.618,22,48,41,33,9,15,48.675,79.595,39,11,60.506,57,32,29.533,34,33,24,58,11,138.352,24,"ENSG00000144182"
"ENSG00000144191 - CNGA3","CNGA3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,4,0,"ENSG00000144191"
"ENSG00000144199 - FAHD2B","FAHD2B",53.811,38.603,0,26.786,15.526,46.332,16.879,16.39,10.255,21.529,17.538,77.903,25.674,6.912,60.407,87.216,1.009,43.88,17.418,23.874,14.805,30.472,21.598,105.119,23.34,"ENSG00000144199"
"ENSG00000144214 - LYG1","LYG1",0,12,2,0,3,0,2,6,2,5,2,4,4,0,1,2,0,0,1,2,4,16,7,2,1,"ENSG00000144214"
"ENSG00000144218 - AFF3","AFF3",86,18,0,55,6,101.001,4,13.001,39,26.999,18,56.999,8,3,20,4,1,74,16,18.999,34.001,44,5,1,2,"ENSG00000144218"
"ENSG00000144224 - UBXN4","UBXN4",2329,1162,533,1653,1896.001,2028.999,1001,1042,911.999,873.999,1662,2752,1207,804.999,2549,2903,1938,2188,1958,941,1310,2318.999,1895,6537.001,1126.001,"ENSG00000144224"
"ENSG00000144227 - NXPH2","NXPH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000144227"
"ENSG00000144228 - SPOPL","SPOPL",1000,294,161,414,591,425,236,324.001,247,123,524,727,205,305,540,536,488,549,490.001,243,438,762,468,1567,425,"ENSG00000144228"
"ENSG00000144229 - THSD7B","THSD7B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"ENSG00000144229"
"ENSG00000144230 - GPR17","GPR17",3,1,0,3,0,1,2,0,0,2,1,0,1,0,1,3,0,1,1,1,0,0,0,0,4,"ENSG00000144230"
"ENSG00000144231 - POLR2D","POLR2D",308,240.281,39,150.095,211.733,412.159,152.934,126,168.335,162.311,186.228,500.755,411.573,85.539,481.83,873.423,284.297,354.691,306.932,163.08,150.424,270.138,279.142,1130.125,165.825,"ENSG00000144231"
"ENSG00000144233 - AMMECR1L","AMMECR1L",482,240,104,273.999,372.999,402,222,176,131.999,145,315,514,279,242,391.999,687,343,424,409,244,231,477.999,195,998,208,"ENSG00000144233"
"ENSG00000144278 - GALNT13","GALNT13",0,2,1,0,3,1,0,1,0,0,0,3,0,0,1,11,0,0,1,0,0,1,0,6,0,"ENSG00000144278"
"ENSG00000144283 - PKP4","PKP4",1209.001,790,265,628.999,753,772,491.999,393.001,433.001,358.999,880.001,1585.999,992,325.999,1280,1787.999,589,1000.999,804,576,556.999,1162,765.999,2227,535,"ENSG00000144283"
"ENSG00000144285 - SCN1A","SCN1A",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000144285"
"ENSG00000144290 - SLC4A10","SLC4A10",7,13,19,12,22,32,11,11,2,14,5,49,17,1,24,43,15,30,23,28,10,11.001,9,28,11,"ENSG00000144290"
"ENSG00000144306 - SCRN3","SCRN3",274.222,149.001,67,147,375.608,321.028,158,117,80.001,110,306.649,361.929,94.001,147.001,340.846,378.999,205.999,300.005,291.94,133,127.001,323.001,297,1092.95,128.999,"ENSG00000144306"
"ENSG00000144320 - LNPK","LNPK",1283.001,314,170,278,522,560,247,281,182,177,524,956,250,186,869,866,577,598.001,464,294,355,1042,461,1896,371,"ENSG00000144320"
"ENSG00000144331 - ZNF385B","ZNF385B",4,4,0,1,0,4,0,2,1,0,2,4,2,0,2,2,0,2,1,1,0,1,0,0,0,"ENSG00000144331"
"ENSG00000144339 - TMEFF2","TMEFF2",1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,"ENSG00000144339"
"ENSG00000144354 - CDCA7","CDCA7",397.999,366,58,141.999,264,673,129,174,219,219,228,1511,236,54,1066,1317,254,684,289.001,237,137,237.999,413.001,2036.001,202,"ENSG00000144354"
"ENSG00000144355 - DLX1","DLX1",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"ENSG00000144355"
"ENSG00000144357 - UBR3","UBR3",858,234,163,314,412,511,287,284,166.999,148,537,1029,187,191.999,821,762,391,611,630,293,390,669,393,1689,352,"ENSG00000144357"
"ENSG00000144362 - PHOSPHO2","PHOSPHO2",97.477,52,22,27,66.166,66.351,15,26.748,21,3,98,80.798,25.001,36,35.578,57,84.866,70.289,30.448,29,35,87,66,123.501,47,"ENSG00000144362"
"ENSG00000144366 - GULP1","GULP1",476,96.999,23.999,16,57,29,15.999,25,19,21,204.001,116.999,13,99.999,27,25.999,133.999,89,21.999,58,217.001,48.999,97.001,49.001,103,"ENSG00000144366"
"ENSG00000144369 - FAM171B","FAM171B",31,12,1,3,1,15,3,2,5,5,3,2,0,3,11,2,0,11,8,4,7,9,2,2,1,"ENSG00000144369"
"ENSG00000144381 - HSPD1","HSPD1",3155.991,2548.995,759.001,2540.874,2377,6194.984,2073.001,1594.992,2158.878,2735.992,2750.999,12039.81,11373.758,684,12731.21,21813.112,2869.989,5719.783,6546.736,2226.001,1331,2782.617,4032.99,30674.929,2386.855,"ENSG00000144381"
"ENSG00000144395 - CCDC150","CCDC150",5,32.999,2,2,9,8,0,4,20,20,5,17,7,1,14,25.001,11,5,6,0,0,8.994,4,18,3,"ENSG00000144395"
"ENSG00000144401 - METTL21A","METTL21A",283.562,254.422,64,202.999,481.387,268.139,119.001,150.904,110.305,156.035,212.319,303.913,222.578,108.851,267.006,428.068,258.358,188.999,260.032,204.383,120.855,297.378,208.282,677.765,169.101,"ENSG00000144401"
"ENSG00000144406 - UNC80","UNC80",3,14,4,12,10,2,2,6,4,8.006,14,7,4,3,8,10,3,8.999,5,10,6,18,12,14,4,"ENSG00000144406"
"ENSG00000144407 - PTH2R","PTH2R",2,0,0,1.977,0,1,2,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,2,3,0,"ENSG00000144407"
"ENSG00000144410 - CPO","CPO",0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,1,2,0,0,"ENSG00000144410"
"ENSG00000144426 - NBEAL1","NBEAL1",1102.248,324.655,217,471.181,824.78,609.736,363,322.406,221.803,140.224,878.097,1090.608,193.492,348.092,895.354,923.566,502.065,893.138,741.41,450.001,547.079,975.155,489.27,1957.405,470.07,"ENSG00000144426"
"ENSG00000144445 - KANSL1L","KANSL1L",81,47,9,20,23,42,6,11,16,17,34,98,19,14,39.999,33,32,40,18,20,21,49,17,69,32.001,"ENSG00000144445"
"ENSG00000144451 - SPAG16","SPAG16",167,161.999,54,132,174,225,93,89,78,84,105,374,119,44,270,276,114,158,201,87,80,220,153,693,151,"ENSG00000144451"
