"","X","WS12.2","WS14.2","WS17.2","WS18.2","WS2.2","WS21.2","WS23.2","WS24.2","WS27.2","WS32.2","WS33.2","WS34.2","WS36.2","WS37.2","WS38.2","WS39.2","WS4.2","WS40.2","WS42.2","WS43.2","WS47.2","WS5.2","WS6.2","WS8.2","WS9.2","Ensembl"
"ENSG00000073067 - CYP2W1","CYP2W1",29,18,0,3,26,14,4,21,17,14,14,27,1,3,51,82,8,14,14,10,19,34,11,63,17,"ENSG00000073067"
"ENSG00000073111 - MCM2","MCM2",196,296,29,117,145,630,129,128,195,221,219,1352,278,52,1200,1997,148,600,402,122,108,182,294,2296,159,"ENSG00000073111"
"ENSG00000073146 - MOV10L1","MOV10L1",0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"ENSG00000073146"
"ENSG00000073150 - PANX2","PANX2",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5,0,0,1,1,0,"ENSG00000073150"
"ENSG00000073169 - SELENOO","SELENOO",488,609,121,327,531,403,252,231,235,321,365,546,325,136,468,719,337,399,531,317,241,496,291,1124,163,"ENSG00000073169"
"ENSG00000073282 - TP63","TP63",7,2,0,2,2,8,1,1,3,1,3,3,0,0,5,8,1,0,1,0,1,4,0,0,1,"ENSG00000073282"
"ENSG00000073331 - ALPK1","ALPK1",426.999,295,92.847,159,204,302,106,165,90.001,72,265,513.001,93.999,152,220,384.999,254.999,278,202.999,134,256.001,317,206.999,510,169,"ENSG00000073331"
"ENSG00000073350 - LLGL2","LLGL2",9103.999,5724.001,2865.002,4727.001,8231,6644.998,4593.002,4126.001,2733.999,3130.999,6557.999,8252,3675.998,3608,6146.999,9611.001,6853.001,7048,9031,5626.001,4968,8776.999,5630.001,17934,3839,"ENSG00000073350"
"ENSG00000073417 - PDE8A","PDE8A",4239.001,1220,1066.999,1166.001,2540,2014.999,1387.001,1453.999,722,421,3000.001,2980.001,378,1417.001,1635,2185,2708.999,2397,2501,1529,2292.999,3116.999,2097,4296,1213.001,"ENSG00000073417"
"ENSG00000073464 - CLCN4","CLCN4",20,20,4,2,3,25,2,11,17,7,5,11,4,3,12,21,1,12,8,11,8,9,7,16,0,"ENSG00000073464"
"ENSG00000073536 - NLE1","NLE1",114.001,102.001,18,47,54,234,72,47,83,76,89.001,380,171.001,7,295.999,497.001,80,178,139,75,44,74,118,633,72,"ENSG00000073536"
"ENSG00000073578 - SDHA","SDHA",8740.869,5001.793,2592.913,5043.867,8487.946,6710.286,4925.186,4198.095,2799.602,2941.193,6245.211,9831.653,4699.285,2842.327,7692.917,11492.149,7127.768,6553.93,8395.465,3792.426,4796.574,6598.493,7351.964,17891.301,3637.215,"ENSG00000073578"
"ENSG00000073584 - SMARCE1","SMARCE1",1878.295,1174.369,366,922,1258.998,1717.777,740.582,731.774,781.808,599.03,1229.521,2546.566,1297.692,486.541,1753.526,2797.681,1078,1765.477,1600.026,821.366,896.774,1739.528,1286.306,5171.84,878.999,"ENSG00000073584"
"ENSG00000073598 - FNDC8","FNDC8",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"ENSG00000073598"
"ENSG00000073605 - GSDMB","GSDMB",1848.999,1952.016,1122,1748.02,3593.254,2855.002,1343,2812,501,1781.007,2365.999,2286.999,2076,1888.999,1705.001,1471.001,2667.998,2372.001,2729.999,1729.999,2643.998,3690.999,2023,5308.001,811.002,"ENSG00000073605"
"ENSG00000073614 - KDM5A","KDM5A",1493,637.999,331,569,624,743.999,321,589,337,252,898,1376,404,492,828,1062.999,654,1038.002,775.001,386,744,915,559.001,1812,549,"ENSG00000073614"
"ENSG00000073670 - ADAM11","ADAM11",5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,"ENSG00000073670"
"ENSG00000073711 - PPP2R3A","PPP2R3A",1511.999,344.999,339,379,743.999,642,377.001,396,169,182,1052,1082.001,188,317,851,791,717,726,707,412,710,937,553.001,1478,575,"ENSG00000073711"
"ENSG00000073712 - FERMT2","FERMT2",157,86.057,1,46,40,43,7,22,31,93.384,23,28,4,1,59,28,13,19,27,22.014,53,14,5,12,12,"ENSG00000073712"
"ENSG00000073734 - ABCB11","ABCB11",528,72,103,421.804,137.753,555,53,331.455,87.952,54.181,242.485,627.332,324.085,254.037,125.142,155.154,687.499,193.577,114,558,154.772,743,154.579,178,234.033,"ENSG00000073734"
"ENSG00000073737 - DHRS9","DHRS9",10211,2288,3831.001,12872.999,7463,6990,3927,4172,2181,1924.001,7685.999,7910,5083,3609.999,3926,10112.999,7160,8435,8808.001,3416,4285,8729.001,5296,15910.999,5642.001,"ENSG00000073737"
"ENSG00000073754 - CD5L","CD5L",0,5,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,4,0,1,1,1,0,0,0,"ENSG00000073754"
"ENSG00000073756 - PTGS2","PTGS2",3,3,0,4,0,2,0,4,0,0,6,0,0,0,3,27,0,0,0,1,1,1,0,4,0,"ENSG00000073756"
"ENSG00000073803 - MAP3K13","MAP3K13",1229.253,628.048,367,765,871.001,776,366,477,317,324,879,1103,617,328,768.001,1131.999,773,803,727.001,529,648,1088,606,1799,535,"ENSG00000073803"
"ENSG00000073849 - ST6GAL1","ST6GAL1",1116,878.999,144,626,496,1719.001,344.001,538.999,605,350,502,2786.999,603,125,2160.998,2001.001,385,1578,854.001,381,408,935,454,3268.001,401.001,"ENSG00000073849"
"ENSG00000073861 - TBX21","TBX21",34,4,1,12,3,17,1,15,9,7,10,23,1,8,9,18,0,13,18,5,9,12,16,10,0,"ENSG00000073861"
"ENSG00000073910 - FRY","FRY",121,67.999,11.999,31.999,26.999,92.999,19.999,37.999,43.999,29.999,37.999,83.999,25.999,12.999,25,86,7.999,43.999,29.999,22,28.999,93,30.999,64,13.999,"ENSG00000073910"
"ENSG00000073921 - PICALM","PICALM",6230.002,2222,1594.999,3962.001,4181.998,3747.999,1926.999,2475.999,1443,1066.999,4088,4787,1603.999,2327.999,2779.999,4313,3640.002,4451,3596,1729,3288.001,4873.002,3120,8394.001,2849,"ENSG00000073921"
"ENSG00000074047 - GLI2","GLI2",35,16,0,10,2,15,2,6,14,27,2,1,0,0,14,3,1,5,1,4,16,1,0,3,1,"ENSG00000074047"
"ENSG00000074054 - CLASP1","CLASP1",728,351,114,284,317,457.999,231,275,211,191.111,412,614,183,194,549.999,783,249,546.001,582,233,330,443,235,1128.001,249,"ENSG00000074054"
"ENSG00000074071 - MRPS34","MRPS34",1650.999,1675,427.001,1079,2067,2680.999,1306.001,943.001,1160,1349,1209,2535.997,2496,505,2191,4223.001,1208,1863,2481,1016,730.001,1731.999,1527,7795,784,"ENSG00000074071"
"ENSG00000074181 - NOTCH3","NOTCH3",83,83,7,29,19,35,5.001,15,41.004,135,28,31,3,2,49,34,8,33,26,44.004,37,9,6,22,8,"ENSG00000074181"
"ENSG00000074201 - CLNS1A","CLNS1A",804,454,236,420,634,1016,362,397,419,249.999,603.999,1909,847,243.001,1256.999,1824,554.001,937.998,814.999,405.999,410,683.001,805.001,2767,376.999,"ENSG00000074201"
"ENSG00000074211 - PPP2R2C","PPP2R2C",4,1,0,2,0,8,0,1,0,1,2,5,0,0,0,0,0,0,0,1,3,0,0,0,0,"ENSG00000074211"
"ENSG00000074219 - TEAD2","TEAD2",116.267,166.999,14,38,66,216,28,41,49,84,53,193.999,80,8,199,299,47,120,115,70,35,79,119,458.999,38,"ENSG00000074219"
"ENSG00000074266 - EED","EED",349,177,92,197,249,280,119,133.001,121,102.001,250.001,489.001,259,106,367,391.001,238,320,266.999,157.999,184.001,362,203.999,956,181.999,"ENSG00000074266"
"ENSG00000074276 - CDHR2","CDHR2",13511,5007.001,3238,6225,9063.001,5098,2937.001,5505.999,1917.001,2041,10231.001,7526.001,1078,5760.001,3642,4190,6151,7296.001,5957.999,3039,8298,5840,6199.999,11118,8054.001,"ENSG00000074276"
"ENSG00000074317 - SNCB","SNCB",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ENSG00000074317"
"ENSG00000074319 - TSG101","TSG101",2809.999,1030,816,1672.001,2415.999,1742.999,971,1273.999,647.001,580,2008.007,2683.001,1341.001,915.001,1511.001,3006.998,1978,1945.998,2150.998,977,1257.999,2273,1797,4974.001,1171.999,"ENSG00000074319"
"ENSG00000074356 - NCBP3","NCBP3",920,601,251,447,571.001,555.087,337,386,249.101,311,639,896,422,325,670,1157.078,528.001,747.001,732.001,421,492.997,790.001,525.999,1870,381.001,"ENSG00000074356"
"ENSG00000074370 - ATP2A3","ATP2A3",7210.002,6947.999,1463,6160.999,7343,8071.001,5103.001,3983,4702.999,4105.001,4478.001,7634,6255.001,2333.999,10656.001,16237,3939.001,10287,11820,3981.999,5842.999,9128.001,5752,28146,4304.999,"ENSG00000074370"
"ENSG00000074410 - CA12","CA12",21820,12008,7808,19350,25931,20357,14535,15935.001,8989,7404,26385,26127.999,16389,11263.999,16702.999,25594.999,19750,25325,32649,14964.999,18625.971,21708.999,19521,50330.999,17430,"ENSG00000074410"
"ENSG00000074416 - MGLL","MGLL",18015.999,8970,5033,8543.001,12767.544,7697,5490,8614,3818,3308.001,14858.999,14275.999,4236,6762,6441,10368.002,10441,12229.018,11695.002,8031.996,10592.999,14276.001,10205.001,19254.999,6597,"ENSG00000074416"
"ENSG00000074527 - NTN4","NTN4",389.999,146,52,98,131,154,60,105,41,43,165,306.001,61,61,218.999,191.001,242,190,114,73,118.999,370,109.001,532,102,"ENSG00000074527"
"ENSG00000074582 - BCS1L","BCS1L",116,160.001,29,106,110,208,72,60.001,95,90,95,449,285.001,34.999,346.999,553,104.001,167.999,213.999,113,60.001,147.001,78,797.999,44,"ENSG00000074582"
"ENSG00000074590 - NUAK1","NUAK1",95,60,9,14,24,37,29,14,53,48,22,25,11,6,54,41,6,21,13,21,20,25,12,57,12,"ENSG00000074590"
"ENSG00000074603 - DPP8","DPP8",1103,400,171,480,612.001,659.001,332,396.001,248,221,671,998.001,235,298,762,755,579,730,579.001,357.611,466,952,512.001,1829.001,414.001,"ENSG00000074603"
"ENSG00000074621 - SLC24A1","SLC24A1",134,87,29,49,53.001,84.999,17,49.001,43.001,15,42.999,209.001,57,14.999,130,189,34,114,98,54,63.999,68,51,268.001,51,"ENSG00000074621"
"ENSG00000074657 - ZNF532","ZNF532",140,112,12,36,32,106,15,32,56,77,31,49.999,15,4,42.001,55,6,41,37,26,58.999,45,11,49.001,13,"ENSG00000074657"
"ENSG00000074660 - SCARF1","SCARF1",71.817,65.129,0,23,0,28.216,18,0,32,35,32.804,26,0,10,0,0,0,4.07,0,0,24.669,63,15,0,0,"ENSG00000074660"
"ENSG00000074695 - LMAN1","LMAN1",735,429,141,316,536,841,330,377,337,327,614,1320,666,152,2232,1900,401,1098,881,278,444,731,545,4831,441,"ENSG00000074695"
"ENSG00000074696 - HACD3","HACD3",526,453,132,397,525,1174,399,297,349,382,501,1577,940,150,2015,2714,445,941,920,351,213,713,687,4453,404,"ENSG00000074696"
"ENSG00000074706 - IPCEF1","IPCEF1",51,30,4,17,6.702,41.868,8,24,26.861,16,33.906,59.212,8,6,26,10,9,79,7,7,29,29,14,21,6.273,"ENSG00000074706"
"ENSG00000074755 - ZZEF1","ZZEF1",8882.001,2311.387,1840,2852.005,4330.031,3376.007,2433.999,3409.008,1521.037,1382.881,6862.632,6903.021,1779.26,3085.787,4450.14,5052.031,4068.001,6381.039,6520.407,2877.113,4724.453,6686.742,2906.267,9927.009,2525,"ENSG00000074755"
"ENSG00000074771 - NOX3","NOX3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000074771"
"ENSG00000074800 - ENO1","ENO1",16290.999,10689.421,3803.999,11027.002,12933.656,17278.549,8109.999,6995.978,6594.893,9860.185,12354.997,24883.997,17817.943,4497,22025.991,36538.376,10986,15005.922,22254.788,8225.001,8208.738,13809.997,11537.999,63719.999,8944.001,"ENSG00000074800"
"ENSG00000074803 - SLC12A1","SLC12A1",0,0,0,0,0,2.001,0,2.805,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"ENSG00000074803"
"ENSG00000074842 - MYDGF","MYDGF",722,683,219,741,1193,1271,800,437,617,731,977.999,1880,2319,311,2126,3782,1010,1485,1952,576,464,1095,1143,7500,752,"ENSG00000074842"
"ENSG00000074855 - ANO8","ANO8",50,44,3,20,46,77,47,22,41,6,46,63,29,18,69,171,23,63,77,39,40,78,28,151,19,"ENSG00000074855"
"ENSG00000074935 - TUBE1","TUBE1",78,49,24,41,58,60.001,25,27.999,26,22.001,42,91.001,59,9,116,111,63,69.999,56.001,48,45,67.001,39,185,45,"ENSG00000074935"
"ENSG00000074964 - ARHGEF10L","ARHGEF10L",2054,1534.999,583,938.001,1321.999,1880,754,970.001,750,780,1397.999,2781,1235,436.999,2094,2642.001,1270.001,1839,1613,1136.999,838,2070,1138.999,4870,871,"ENSG00000074964"
"ENSG00000074966 - TXK","TXK",24,15,2,5,3,9,0,25,9,3,12,22,1,0,6,5,23,35,10,1,11,25,4,10,3,"ENSG00000074966"
"ENSG00000075035 - WSCD2","WSCD2",1,4,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,"ENSG00000075035"
"ENSG00000075043 - KCNQ2","KCNQ2",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,"ENSG00000075043"
"ENSG00000075073 - TACR2","TACR2",77,13,2,6,9,9,4,3,4,7,4,4,1,1,4,17,3,2,12,3,6,0,7,14,0,"ENSG00000075073"
"ENSG00000075089 - ACTR6","ACTR6",297,153,78,152,330,261,102.999,128.001,129,98,202,339.999,102,127,303,370.001,214,265.001,241,118,193.999,338,248,858.999,162.999,"ENSG00000075089"
"ENSG00000075131 - TIPIN","TIPIN",17,32,3,19,16,76.003,24.001,11,41,39,27,95,110.005,5,177,298.157,21,90,57,17,14,20,43,314,20,"ENSG00000075131"
"ENSG00000075142 - SRI","SRI",28572.001,9926,10318,13566,23370.001,15252,7402.001,12446,7139.001,5744.001,20037.998,25365.998,6376,9864.999,7320.999,16065.001,23797.999,17198.001,13305,8134.001,15263,22410.999,21659.999,32482,13302,"ENSG00000075142"
"ENSG00000075151 - EIF4G3","EIF4G3",1707.998,630,339.001,965,1106,1320,871.001,624,558.001,494.001,1275.001,1989,983.999,499.001,2353,3280.999,819.999,2110.001,2197.001,1055.001,803,1473.999,782.999,4372.998,801,"ENSG00000075151"
"ENSG00000075188 - NUP37","NUP37",217,147,42,111,132,316.999,116,80.001,106,149.001,126,478.001,298,39,511,738,108,311,335.999,99.001,110,214,190,1251,126.999,"ENSG00000075188"
"ENSG00000075213 - SEMA3A","SEMA3A",78,48,1,9,10,30,1,2,16,31,5,13,2,0,31,5,0,6,19,4,15,2,5,9,6,"ENSG00000075213"
"ENSG00000075218 - GTSE1","GTSE1",21,178,10,37,42,128,41,14,54,54,30,268,87,5,376,355,10,149.001,146,35,21,19,60,578,74,"ENSG00000075218"
"ENSG00000075223 - SEMA3C","SEMA3C",4020,581.004,734,1122,672,469,300,824,200.999,169,1351,1384,327,645,988,930.999,1355,1539.001,612.001,353,973,4314,960,1839,938,"ENSG00000075223"
"ENSG00000075234 - TTC38","TTC38",5423,2993,1522,2609,6883.999,4366,2701.001,2138,1502.001,1816,4010.001,5613,2234.999,1988.001,3737,5790.999,2073,3795.001,4658.001,2190,2821.999,7747,4087,9907.999,2307,"ENSG00000075234"
"ENSG00000075239 - ACAT1","ACAT1",5204.001,2499.999,1946.999,3364,5232,3313.001,1863.999,1854.002,788,923,2768.001,5115.001,1858.999,1398.001,2745,3858.448,4469,3229.001,2144.002,2483.999,2011.999,4888.001,3601.999,7060,2044,"ENSG00000075239"
"ENSG00000075240 - GRAMD4","GRAMD4",3839.999,1768,1294,2105,4114,2264,2105,2005,1314.001,1008,4237.999,3609,1711.001,1630.001,3433,3866,2875,3246,4684,2048.999,2593,3567,2348.001,8160.999,1331.001,"ENSG00000075240"
"ENSG00000075275 - CELSR1","CELSR1",66,127.999,10,70.999,7,176,18,46,122,31,46.001,144.999,35,15,111,120.001,12,55.999,22.999,58,49,129,15,83.999,24,"ENSG00000075275"
"ENSG00000075290 - WNT8B","WNT8B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,"ENSG00000075290"
"ENSG00000075292 - ZNF638","ZNF638",1275.999,784.001,257,436.001,694,997,393,439,419.001,350.999,819.999,1496,729.999,275.998,1036,1571,724.001,1064.999,798.002,500,582.999,1075.001,576,2831,519.999,"ENSG00000075292"
"ENSG00000075303 - SLC25A40","SLC25A40",455.001,184,77,166,329,303,164,171,160,127,246,435,111.001,136.999,377,409.001,269,304,258,199,173,510.001,274,940,156,"ENSG00000075303"
"ENSG00000075336 - TIMM21","TIMM21",224,207.001,55.999,114,181,362,125.999,115.001,101,152,161,597,278,48.999,636.999,717,200.001,325,380.999,159,135,272.001,306,1581,152,"ENSG00000075336"
"ENSG00000075340 - ADD2","ADD2",7,7,0,9,0,16,0,0,7,2,1,3,0,1,4,3,0,20,1,10,7,0,1,1,0,"ENSG00000075340"
"ENSG00000075388 - FGF4","FGF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"ENSG00000075388"
"ENSG00000075391 - RASAL2","RASAL2",218,124,50,133.999,140,216.999,110,70,80,37,115,260,129,46,299.001,290,144,247,170,147,102,216,99.999,472.001,106,"ENSG00000075391"
"ENSG00000075399 - VPS9D1","VPS9D1",321,336.999,75,147,270,226,119,125,123,186,179,328,143,92,207,287,185.001,208,267,226,159,273,191,557,125,"ENSG00000075399"
"ENSG00000075407 - ZNF37A","ZNF37A",206,137,36,78.982,101.936,169.881,60,90.944,73.82,84,107.744,226,121.659,29,216,245,106,176.957,116,115.039,116,167.933,78.831,387.958,85,"ENSG00000075407"
"ENSG00000075413 - MARK3","MARK3",979.001,725,217.001,520.001,728.998,735.002,380.001,452,389,325,704.006,1041.001,567.998,335.999,829.002,1256.001,506.907,772.999,832,491.182,486.001,876,502,2019.001,436.998,"ENSG00000075413"
"ENSG00000075415 - SLC25A3","SLC25A3",18212.001,9266,5165,13015,17154,14096.001,7954.999,8049.999,5276.999,6435.999,14208.001,19795,9098.79,7223.001,15442.999,24228.999,12847,14699.999,17821.001,7500,9683.002,16115.001,16214,43250.219,8184.022,"ENSG00000075415"
"ENSG00000075420 - FNDC3B","FNDC3B",1620,502,436,1017.999,832.08,643,384,684.001,272,248.999,1059.999,1085,307,515,865,972.999,658,1325,767,527,974,1397.001,820.999,1931,807.001,"ENSG00000075420"
"ENSG00000075426 - FOSL2","FOSL2",11680.999,2744.001,2049,3716,4294,2604,1965,2973,1193,1097,7773.999,6276,1186,2736.999,4184,10188.001,3983,5378,4200,2353.999,5309,5874,4416,6759,3811,"ENSG00000075426"
"ENSG00000075429 - CACNG5","CACNG5",2,1.141,0,0,2.998,2,0,0,0,0,2,0,1,0,0,1,0,2,0,1,0,8,0,0,0,"ENSG00000075429"
"ENSG00000075461 - CACNG4","CACNG4",4,1,2,5,3,1,3,4,0,3,3,2,0,0,1,1,0,0,0,30,1,3,1,7,1,"ENSG00000075461"
"ENSG00000075539 - FRYL","FRYL",4268.998,1969,700.001,1308,1800,2473,956,1499,743,753,2612.999,4320.999,960.999,1461,3461,3493.998,2422.001,3662.998,2746,1737.999,2110.001,3093,1859.999,6771.001,1692,"ENSG00000075539"
"ENSG00000075568 - TMEM131","TMEM131",3869,1346.001,762.999,1790.001,2801,2091,1663,1349.001,853,790.001,3682,4412.999,990,1349.999,3752,4454,2014.001,3349.001,3587.001,1782.999,2380,3315.001,1963,6151,1671.999,"ENSG00000075568"
"ENSG00000075618 - FSCN1","FSCN1",210,191,21,143,33,213,20,41,211,99,80,203,13,9,135,100,27,193,79,64,101,85,18,60,19,"ENSG00000075618"
"ENSG00000075624 - ACTB","ACTB",217757.523,140395.133,82412.625,315348.247,236194.803,159682.036,118350.646,124732.095,83100.993,93593.066,196986.183,200766.162,195620.242,85371.244,148367.229,326940.089,173916.356,146763.392,239405.243,96149.744,130832.436,121480.618,178093.606,359876.72,95105.707,"ENSG00000075624"
"ENSG00000075643 - MOCOS","MOCOS",428,94,44,100,139,214,98,81,59,80,173,297,159,57,290,436,207,195,242,99,120,281,152,567,75,"ENSG00000075643"
"ENSG00000075651 - PLD1","PLD1",3374,870.002,700.999,1046.999,1369,1496,927.001,1009,483,568.001,1943.001,2267.999,715.001,936,1426,2212,1823,1745.001,1516,902.999,1727,1814,1319.999,3379,1004.999,"ENSG00000075651"
"ENSG00000075673 - ATP12A","ATP12A",1,2,5,0,5,7,5,1,0,0,3,5,1,2,2,3,12,1,0,4,1,27,0,1,0,"ENSG00000075673"
"ENSG00000075702 - WDR62","WDR62",23.001,88.007,13,23,36.999,84.999,30,15,33,64,48.999,98.001,53,2,165,277,10.997,61,64,34.999,16.999,48,29,356.999,24,"ENSG00000075702"
"ENSG00000075711 - DLG1","DLG1",2031.002,826.001,395,921.999,1460.001,1245.68,804.002,684.001,522.999,458,1386.001,2197.003,749,704,1723.001,2145.002,1355,1868,1768.001,831.999,1010,2005.999,1102.999,4681,930.998,"ENSG00000075711"
"ENSG00000075785 - RAB7A","RAB7A",13886.001,5585.002,3983,7220,10448,7145.002,4353.999,5493.999,2951.999,2583,9882.001,10931.999,4650.001,4269,6298,9720,8469.999,7716,7735.999,4399,6106.001,10785.001,7592,18538.999,6744,"ENSG00000075785"
"ENSG00000075790 - BCAP29","BCAP29",635.193,417.193,145.201,654.504,663.723,500.721,357.369,299.224,235.403,200.253,458.143,611.751,612.741,224.691,643.772,699.619,632.609,616.081,605.437,269.677,345.192,644.953,475.956,1900.616,465.919,"ENSG00000075790"
"ENSG00000075826 - SEC31B","SEC31B",24,67.999,2,24,9,14,8,8,7,11,20,5,0,0,11,25,2,2.303,3,26,18.221,38,19,6,4,"ENSG00000075826"
"ENSG00000075856 - SART3","SART3",905.001,506,181,402,442.001,739,264,315.001,304.001,300.001,571.999,1120.002,430,224.999,960.999,1088,483.001,773.001,788.999,307,380,714,451,2162,291,"ENSG00000075856"
"ENSG00000075884 - ARHGAP15","ARHGAP15",111,58,14,31,14,124,10,64,77,48,40,51,14,6,24,30,18,109,10,35,43,50,9,6,3,"ENSG00000075884"
"ENSG00000075886 - TUBA3D","TUBA3D",0,0,0,1,0,0,0,0,0,0,0.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000075886"
"ENSG00000075891 - PAX2","PAX2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000075891"
"ENSG00000075914 - EXOSC7","EXOSC7",215.001,189.019,41,169.5,160,352.022,121,128,129,122.001,160.999,447,512,44.999,406.888,578.999,167,247,282,128.714,89.958,264.001,221,1177,134,"ENSG00000075914"
"ENSG00000075945 - KIFAP3","KIFAP3",995,402,259,982,1172,1175,434,402,350,343,1159.999,1901,1364,347,963,1959,972,1179,1254,487,504,773,1010,3204,570,"ENSG00000075945"
"ENSG00000075975 - MKRN2","MKRN2",503,216.001,110.006,206,299.001,354.999,168,176.001,166,122.992,271,570,244.018,188,418,541.999,321.001,427,387.001,184.999,210.999,433.011,248,1026.999,142.013,"ENSG00000075975"
"ENSG00000076003 - MCM6","MCM6",190,198,34,141,134,597,123,123,243.999,237,167,1135,379,52,1440,2002,193,609,333,103,109,180,333,2445,197,"ENSG00000076003"
"ENSG00000076043 - REXO2","REXO2",366.369,226.689,91.774,301.752,315,403.001,223.001,182.675,249.999,198,160,707.378,544.999,101.326,591.387,1015.605,247,409.846,573.505,227,206,376.999,311.43,1651.923,180.32,"ENSG00000076043"
"ENSG00000076053 - RBM7","RBM7",850.498,318.841,152.818,526.299,614,578.997,260,311.781,160,138,629,812.954,279.093,312.034,667.698,758.439,616.913,624.801,587.77,262.999,475.005,994,515.837,1979.857,432.504,"ENSG00000076053"
"ENSG00000076067 - RBMS2","RBMS2",1687.052,678,405,581.792,1108.999,509,512.124,655,293,256,1258.001,1112.001,353,469,535,700,825,622.999,626.999,610,982.001,1492,550,921,415,"ENSG00000076067"
"ENSG00000076108 - BAZ2A","BAZ2A",3405.002,1114,747,1165.001,1718.001,1648.999,952,1097.001,703,545,2310,2731,759,1126,2256,3135.001,1443.999,2587.001,2624,993.999,1739,2104,991,4262.999,1073,"ENSG00000076108"
"ENSG00000076201 - PTPN23","PTPN23",1228,1095,267,905,1115,993,573,488.001,472,443,1022.999,1327.001,691,388.999,985,1608,489,1144,1203,729.001,649,962,696,2688.001,625.999,"ENSG00000076201"
"ENSG00000076242 - MLH1","MLH1",371.001,183,55.999,257.001,260.001,380,123,149,115.001,133,221,675.001,214.998,102,556.999,935.001,249,392.001,382.998,138,142,290,274.002,1351.002,151.998,"ENSG00000076242"
"ENSG00000076248 - UNG","UNG",659,449,112,248,519,1025,348,284,376,250,397,1976,707,162,1112,1828,446,926.001,679,332,251,599,645,3110,448,"ENSG00000076248"
"ENSG00000076258 - FMO4","FMO4",509,185,155,233,375,229,139,240,94,49,372,388,128,221,210,319,365,340,273,199,351,322,269,555.999,189,"ENSG00000076258"
"ENSG00000076321 - KLHL20","KLHL20",263,95,44,123,129,124.001,87,88,46,55,164,224,59,91,163,223,141,183,186,80,129,195,121,441.999,120,"ENSG00000076321"
"ENSG00000076344 - RGS11","RGS11",25,33,10,19,18.858,16,15,5,11,4,7,25,42,2,4,10,6,19,13,32,26,7,8,23,3,"ENSG00000076344"
"ENSG00000076351 - SLC46A1","SLC46A1",3230,32,334,59,97,303,76,190,73,38,226,180,36,99,128.001,146,708,337,41,145,143.001,315.001,19,276,42,"ENSG00000076351"
"ENSG00000076356 - PLXNA2","PLXNA2",4858.999,1204,976,1562,1940,1625,1103,1919.999,713,577,3022,3099,1124,1678,2120,2751,1594,2616.999,2501.001,1462,2086,3243,1152,4103,1835,"ENSG00000076356"
"ENSG00000076382 - SPAG5","SPAG5",181,277.002,46,150,108,381.001,148,58,133,186.001,174,701,222,40,1063.002,1307.999,107.001,328,352.001,79.001,64,94,197,1917,136.001,"ENSG00000076382"
"ENSG00000076513 - ANKRD13A","ANKRD13A",2842,1073.999,569,804.001,1349,1190,665.999,890.001,463,380,1574,1667,293,947,1225.001,1319,1333.001,1464,1160,889,1377.999,2533,1207,2595.001,876,"ENSG00000076513"
"ENSG00000076554 - TPD52","TPD52",6803.282,3688,2185.715,6214.629,7463.692,5319.861,2940.554,2948.298,2095,2372,5905.09,7628.606,3113.4,2046.999,7114.343,7928.644,4661.254,5739.768,6070.627,2690.073,3356.728,7450.446,5152.492,22239.094,5445.974,"ENSG00000076554"
"ENSG00000076555 - ACACB","ACACB",1003.001,796.999,137,216.001,548,445,294,305,199,304,458,778.999,175,187,616,732.999,329,812,663.001,417,495,645,383,1243.001,270,"ENSG00000076555"
"ENSG00000076604 - TRAF4","TRAF4",2514.001,1288.999,763.999,1591,1978.999,1491.002,982.001,1052.999,678,649.001,1776,2086.001,1239.001,1120.999,1502,2786.001,1911,1702.001,1949.999,1165,1312.001,2126,1374.001,3821.001,1054.001,"ENSG00000076604"
"ENSG00000076641 - PAG1","PAG1",7188,1740,1819,2555,2399,1418,1103,2473,631,472.188,5254.999,4056,550,2367,1771,1835,2833,3248,2277,1731,3650,6078,3692.999,4367,3767,"ENSG00000076641"
"ENSG00000076650 - GPATCH1","GPATCH1",507,250,148,440,432,366,151,245,152.001,106,345,496,370,210,330,456,294,440,399,177,262,410.999,216,1045,283,"ENSG00000076650"
