"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbols"
"ENSG00000176978 - DPP7",143.317677769826,0.3938350663619,0.283033538626442,1.39147843846767,0.164080393508528,0.906514944090992," DPP7"
"ENSG00000140104 - CLBA1",13.1158996981927,0.393817640073095,0.295830351431877,1.33122797632812,0.183114008673086,0.907576446757967," CLBA1"
"ENSG00000012660 - ELOVL5",110.561162679524,0.39373104790412,0.446922198598307,0.880983422034054,0.378326792899306,0.961224366759694," ELOVL5"
"ENSG00000135960 - EDAR",6.46993574390198,0.393429297352931,0.669736664854626,0.587438791988982,0.556909047112024,0.984098793192931," EDAR"
"ENSG00000102781 - KATNAL1",13.2598820196402,0.393268743146608,0.557276826276692,0.70569728473035,0.480376409908378,0.98092313184056," KATNAL1"
"ENSG00000142920 - AZIN2",64.3320969819582,0.393233235860533,0.261951476073763,1.50116823831068,0.133312052762006,0.896967032419362," AZIN2"
"ENSG00000157601 - MX1",386.271927959944,0.392877736437953,0.259790090311483,1.51228915609098,0.130460318480387,0.887497077817355," MX1"
"ENSG00000274576 - IGHV2-70",18.0740533966253,0.392312917044064,0.949194449569724,0.413311431837704,0.679378455293953,0.996541548934822," IGHV2-70"
"ENSG00000243279 - PRAF2",30.5362094386978,0.392268223474926,0.28816916047073,1.36124289925455,0.173436941278663,0.907521982223813," PRAF2"
"ENSG00000240225 - ZNF542P",18.992906884006,0.392177557780345,0.367598572051201,1.06686365943152,0.286033407054411,0.940856133389141," ZNF542P"
"ENSG00000121440 - PDZRN3",31.1786252557801,0.392009412693579,0.388413701470968,1.00925742631888,0.312851192137218,0.946484890855541," PDZRN3"
"ENSG00000086619 - ERO1B",7.54924348988521,0.391918747724181,0.454663793306491,0.861996828192534,0.388689263242681,0.965209192245413," ERO1B"
"ENSG00000186074 - CD300LF",20.6503121867799,0.391568738043255,0.329138197692998,1.18967880600868,0.234172658580172,0.926072206578751," CD300LF"
"ENSG00000128203 - ASPHD2",37.8531971218218,0.390777562947334,0.269010597978688,1.45264746401662,0.146321660505864,0.901892620383302," ASPHD2"
"ENSG00000148346 - LCN2",384.26916367199,0.390252163343357,0.46607083337861,0.837323718616689,0.402410630519297,0.966717102981364," LCN2"
"ENSG00000085382 - HACE1",18.8089754553416,0.389759064971974,0.266584196075507,1.46204865370781,0.143727877713156,0.901892620383302," HACE1"
"ENSG00000166780 - BMERB1",17.4883092977516,0.389635783846807,0.476909453390934,0.817001594488027,0.413927516838555,0.968879260437992," BMERB1"
"ENSG00000170054 - SERPINA9",6.68666711643249,0.389588205393109,1.44472679525115,0.269662199575515,0.78742014387113,0.997927880690038," SERPINA9"
"ENSG00000146021 - KLHL3",12.1235559459876,0.389515207100063,0.347928298717342,1.11952723746828,0.262915277642414,0.938193195325685," KLHL3"
"ENSG00000164430 - CGAS",10.6535840726913,0.388753206707601,0.436596526127738,0.890417544444365,0.373241725239038,0.961224366759694," CGAS"
"ENSG00000163191 - S100A11",1194.26360130224,0.387717617924695,0.29763962084164,1.30264114981849,0.192697302226801,0.911822989754489," S100A11"
"ENSG00000107099 - DOCK8",90.6909675150612,0.387512559522884,0.524579214901399,0.738711234671625,0.460082362300396,0.976927387120706," DOCK8"
"ENSG00000181690 - PLAG1",7.47063202445988,0.386590399053825,0.561977767900053,0.687910485317597,0.491509153228228,0.98092313184056," PLAG1"
"ENSG00000102901 - CENPT",92.9010469401535,0.386529181018138,0.202862417221841,1.9053759997124,0.0567312127005302,0.798986350349196," CENPT"
"ENSG00000183023 - SLC8A1",20.331207744734,0.386385334035657,0.439278759439219,0.879590295986344,0.379081297675358,0.961313875886844," SLC8A1"
"ENSG00000182168 - UNC5C",40.2891627243266,0.386148775957087,0.395922945969505,0.975312948865634,0.329405049286652,0.949315199250329," UNC5C"
"ENSG00000026751 - SLAMF7",95.0727763671515,0.385385056732686,0.504625090009655,0.763705698274561,0.445042644264588,0.975107548303543," SLAMF7"
"ENSG00000168096 - ANKS3",45.3422027262663,0.385108550597346,0.237480221158412,1.62164473621767,0.104879438017754,0.861409629040055," ANKS3"
"ENSG00000118276 - B4GALT6",13.8753583846269,0.385046524184879,0.309342965073553,1.24472371334944,0.213233326210541,0.920702987346797," B4GALT6"
"ENSG00000147041 - SYTL5",67.1265721761815,0.385037623903548,0.354108463978522,1.08734374653892,0.276884921924918,0.940856133389141," SYTL5"
"ENSG00000107954 - NEURL1",144.80214317068,0.384725312307035,0.267570058755563,1.43784889122627,0.150476933702426,0.901892620383302," NEURL1"
"ENSG00000188549 - CCDC9B",145.894624911596,0.384430124427735,0.223599146783676,1.71928260888964,0.0855629250791242,0.854364830102506," CCDC9B"
"ENSG00000100483 - VCPKMT",23.3655026478985,0.384341069642869,0.267510145128159,1.43673455621183,0.150793432062249,0.901892620383302," VCPKMT"
"ENSG00000138449 - SLC40A1",1876.24918474602,0.384002539343494,0.285044285517581,1.34716799758404,0.177926132334952,0.907521982223813," SLC40A1"
"ENSG00000127329 - PTPRB",150.204451237118,0.383950528709412,0.19379461338737,1.9812239463124,0.0475661649304565,0.782504938627562," PTPRB"
"ENSG00000186017 - ZNF566",15.4885364858938,0.383593428469036,0.291158789106188,1.31747157503508,0.187680602948401,0.908408161034909," ZNF566"
"ENSG00000169508 - GPR183",21.1228276787617,0.382858755320246,0.710967530060189,0.538503854441615,0.590229244804632,0.987816302835055," GPR183"
"ENSG00000197406 - DIO3",20.316150782906,0.382791815220587,0.615021498843385,0.62240395813881,0.533676278414132,0.982160681485133," DIO3"
"ENSG00000157500 - APPL1",214.364911255761,0.382479548806791,0.188849442557537,2.02531468256922,0.0428350618149082,0.767731597085893," APPL1"
"ENSG00000099956 - SMARCB1",68.5049468946502,0.381755443999817,0.700839878490034,0.544711360920718,0.585952049917244,0.987240083582585," SMARCB1"
"ENSG00000165359 - INTS6L",41.9441477979485,0.381697116916491,0.229612851897286,1.66235083865096,0.0964424498920012,0.859583612093313," INTS6L"
"ENSG00000137040 - RANBP6",70.7591627676051,0.381614233330988,0.1632999009286,2.33689200765554,0.0194448000310517,0.718348998906779," RANBP6"
"ENSG00000105245 - NUMBL",15.6419594829856,0.381490217258789,0.334117623253547,1.14178418230065,0.253543738805516,0.935281180673282," NUMBL"
"ENSG00000185920 - PTCH1",47.9330032621165,0.381296096303448,0.286045079152836,1.33299302834613,0.18253409167093,0.907521982223813," PTCH1"
"ENSG00000197381 - ADARB1",37.7335340458138,0.380675572305304,0.499420486880654,0.76223459450568,0.445920002290777,0.975107548303543," ADARB1"
"ENSG00000237840 - FAM21FP",6.6758841999172,0.38065464121595,0.485928131981068,0.78335584248656,0.433418179179173,0.974736998538402," FAM21FP"
"ENSG00000118495 - PLAGL1",89.9068040838719,0.380565765211728,0.18525925387141,2.05423349851059,0.0399530976613025,0.757153631937226," PLAGL1"
"ENSG00000187764 - SEMA4D",81.3447124011317,0.380514536152453,0.486046353492767,0.782877051577582,0.433699314731394,0.974736998538402," SEMA4D"
"ENSG00000105329 - TGFB1",118.889916654477,0.380342451967796,0.485231464296116,0.783837158044824,0.433135667467409,0.974736998538402," TGFB1"
"ENSG00000188785 - ZNF548",28.3858037849139,0.380041853802283,0.260018814727461,1.46159367044506,0.143852589919718,0.901892620383302," ZNF548"
"ENSG00000186818 - LILRB4",3.49085640475787,0.379806440252091,1.15784273367938,0.328029385342468,0.742889444511243,0.997927880690038," LILRB4"
"ENSG00000243232 - PCDHAC2",5.49033963742266,0.379096676226423,1.29399909340202,0.292965179156154,0.769548767502665,0.997927880690038," PCDHAC2"
"ENSG00000116017 - ARID3A",67.3851354441742,0.379072671455273,0.278841032507329,1.35945799671829,0.174001503827143,0.907521982223813," ARID3A"
"ENSG00000008311 - AASS",8.54869968522171,0.378951233317534,0.42874411572303,0.883863403415984,0.376769954868907,0.961224366759694," AASS"
"ENSG00000106546 - AHR",172.755148214372,0.37881171034584,0.178733134740993,2.11942632178855,0.0340544542777445,0.750628399457026," AHR"
"ENSG00000158481 - CD1C",10.1015441240536,0.378296198374621,0.663913387537242,0.569797514970882,0.568815041210254,0.984240805326286," CD1C"
"ENSG00000175463 - TBC1D10C",49.3864785371252,0.378242271855164,0.605397370657953,0.624783473116321,0.53211317905637,0.982089934247399," TBC1D10C"
"ENSG00000119965 - C10orf88",25.3543239726311,0.377980696144947,0.208023710984442,1.81700775529966,0.0692159258655873,0.835351906600495," C10orf88"
