,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbols
ENSG00000123892 - RAB38,6.880876623,0.675192561,0.395377433,1.707716487,0.087688961,0.961973479, C6orf303
ENSG00000056998 - GYG2,30.0791878,0.673880297,0.452991888,1.487621113,0.136850842,0.961973479, C6orf304
ENSG00000237649 - KIFC1,64.35659775,0.671623538,0.391912459,1.713708056,0.086582357,0.961973479, C6orf305
ENSG00000146477 - SLC22A3,13.84318402,0.670970261,0.423593744,1.583994737,0.113194917,0.961973479, C6orf306
ENSG00000188610 - FAM72B,6.727086547,0.669963112,0.585834113,1.143605497,0.252787281,0.961973479, C6orf307
ENSG00000125730 - C3,237.6885714,0.668789786,0.782331966,0.854867007,0.392624778,0.96565855, C6orf308
ENSG00000090447 - TFAP4,38.78159702,0.667411197,0.334025731,1.998083186,0.045707642,0.961973479, C6orf309
ENSG00000167077 - MEI1,11.98940657,0.66616721,0.781495084,0.852426617,0.393977352,0.96565855, C6orf310
ENSG00000236699 - ARHGEF38,15.5114948,0.665311691,0.295591376,2.250781806,0.02439936,0.961973479, C6orf311
ENSG00000151014 - NOCT,46.01862358,0.662687901,0.332746932,1.991567277,0.046418557,0.961973479, C6orf312
ENSG00000072274 - TFRC,2991.074542,0.660492556,0.256654403,2.573470581,0.010068421,0.961973479, C6orf313
ENSG00000011052 - NME1-NME2,12.09503042,0.659644396,0.784391267,0.840963463,0.400368403,0.96565855, C6orf314
ENSG00000286140 - DERPC,168.6652841,0.659220152,0.483568365,1.363240858,0.172806614,0.961973479, C6orf315
ENSG00000162772 - ATF3,182.064877,0.658990169,0.519329131,1.26892587,0.204467505,0.961973479, C6orf316
ENSG00000079263 - SP140,35.30868545,0.657876856,0.714169983,0.92117685,0.356958102,0.96565855, C6orf317
ENSG00000186265 - BTLA,6.723445694,0.657110834,0.743285552,0.884062434,0.376662511,0.96565855, C6orf318
ENSG00000186891 - TNFRSF18,8.756401981,0.656391837,0.487607829,1.346147042,0.1782551,0.961973479, C6orf319
ENSG00000116299 - ELAPOR1,212.0514702,0.655683395,0.347016628,1.88948696,0.058826608,0.961973479, C6orf320
ENSG00000274736 - CCL23,100.641255,0.655362817,0.921651115,0.711074729,0.477037929,0.96565855, C6orf321
ENSG00000121966 - CXCR4,85.10162298,0.654362891,0.770305256,0.84948517,0.395611379,0.96565855, C6orf322
ENSG00000221955 - SLC12A8,14.55193544,0.651213769,0.443853434,1.467181999,0.142326552,0.961973479, C6orf323
ENSG00000117877 - POLR1G,22.87993833,0.651020407,0.36107836,1.802989266,0.0713899,0.961973479, C6orf324
ENSG00000127423 - AUNIP,4.95025727,0.650508853,0.520189613,1.250522571,0.211108715,0.961973479, C6orf325
ENSG00000135245 - HILPDA,21.61966663,0.649807407,0.316829013,2.050971916,0.040269682,0.961973479, C6orf326
ENSG00000145113 - MUC4,81.60882673,0.648638617,1.162237506,0.558094721,0.576779705,0.971845964, C6orf327
ENSG00000176890 - TYMS,108.0807409,0.64861858,0.343499274,1.888267687,0.058990023,0.961973479, C6orf328
ENSG00000137860 - SLC28A2,21.53222845,0.648128912,0.725819493,0.892961568,0.371877754,0.96565855, C6orf329
ENSG00000177674 - AGTRAP,46.28314944,0.647768809,0.254228196,2.547981773,0.010834813,0.961973479, C6orf330
ENSG00000183763 - TRAIP,14.18018927,0.645587967,0.346144527,1.865082118,0.062169895,0.961973479, C6orf331
ENSG00000161544 - CYGB,37.41880842,0.645220306,0.511241995,1.262064371,0.206925625,0.961973479, C6orf332
ENSG00000235459 - RPS26P31,13.22124454,0.643224528,0.385212219,1.669792642,0.094960397,0.961973479, C6orf333
ENSG00000110436 - SLC1A2,3.821116985,0.642741045,1.358000038,0.473299726,0.635999358,0.977216718, C6orf334
ENSG00000157168 - NRG1,8.428543303,0.642528618,0.607972109,1.056838971,0.290585085,0.964309686, C6orf335
ENSG00000137804 - NUSAP1,52.43134533,0.642138003,0.490819751,1.308296989,0.190772596,0.961973479, C6orf336
ENSG00000141076 - UTP4,48.19914728,0.641238054,0.452573617,1.416870163,0.156520891,0.961973479, C6orf337
ENSG00000128710 - HOXD10,14.74688377,0.639642206,0.833269424,0.767629518,0.442707321,0.96565855, C6orf338
ENSG00000186193 - SAPCD2,121.2434733,0.638971039,0.392983948,1.625946919,0.103960948,0.961973479, C6orf339
ENSG00000114767 - RRP9,80.90182456,0.63882345,0.247644371,2.579600118,0.009891478,0.961973479, C6orf340
ENSG00000123131 - PRDX4,145.9703711,0.63785872,0.282725899,2.2561029,0.024064188,0.961973479, C6orf341
ENSG00000171793 - CTPS1,36.89192818,0.637422348,0.387051962,1.646865048,0.099585788,0.961973479, C6orf342
ENSG00000168970 - JMJD7-PLA2G4B,11.37190737,0.636179625,0.664167758,0.957859844,0.338133438,0.96565855, C6orf343
ENSG00000175274 - TP53I11,247.411031,0.635166151,0.343689535,1.848081148,0.064590604,0.961973479, C6orf344
ENSG00000111206 - FOXM1,107.3592007,0.634746351,0.327942043,1.935544296,0.052923538,0.961973479, C6orf345
ENSG00000005189 - REXO5,10.68076464,0.633791806,0.31313491,2.024021549,0.042967935,0.961973479, C6orf346
ENSG00000161249 - DMKN,6.439761365,0.63354463,0.434291052,1.458801941,0.144619628,0.961973479, C6orf347
ENSG00000275835 - TUBGCP5,28.77991636,0.632725989,0.299162128,2.114993609,0.034430492,0.961973479, C6orf348
ENSG00000088881 - EBF4,7.408837334,0.632093376,0.500997924,1.261668653,0.207068041,0.961973479, C6orf349
ENSG00000276234 - TADA2A,43.27975984,0.632079407,0.433043156,1.459622207,0.144393932,0.961973479, C6orf350
ENSG00000166851 - PLK1,94.84294947,0.63145739,0.389405989,1.621591368,0.104890872,0.961973479, C6orf351
ENSG00000156398 - SFXN2,44.65407543,0.631394216,0.331617654,1.903982518,0.056912461,0.961973479, C6orf352
ENSG00000131187 - F12,58.78431143,0.631328667,0.233947089,2.698595957,0.006963266,0.961973479, C6orf353
ENSG00000166394 - CYB5R2,13.58879655,0.629910855,0.349867727,1.80042572,0.071793443,0.961973479, C6orf354
ENSG00000162552 - WNT4,5.492655563,0.628444024,0.433331402,1.450261901,0.146985499,0.961973479, C6orf355
ENSG00000214182 - PTMAP5,14.27040966,0.628423007,0.267230319,2.351615676,0.018692077,0.961973479, C6orf356
ENSG00000111344 - RASAL1,41.50247785,0.628406441,0.263828022,2.381879062,0.017224553,0.961973479, C6orf357
ENSG00000103257 - SLC7A5,49.06785107,0.627040382,0.412629842,1.519619566,0.128606617,0.961973479, C6orf358
ENSG00000185112 - FAM43A,311.2794596,0.626129267,0.391630711,1.598774688,0.109870675,0.961973479, C6orf359
ENSG00000139880 - CDH24,16.65779212,0.62605874,0.414921169,1.508861889,0.131334081,0.961973479, C6orf360
ENSG00000133027 - PEMT,29.26923654,0.625953969,0.339635229,1.843018378,0.065326327,0.961973479, C6orf361
ENSG00000174928 - C3orf33,6.267605606,0.625746522,0.470677633,1.329458801,0.183696649,0.961973479, C6orf362
ENSG00000066735 - KIF26A,18.99857353,0.625692627,0.429605597,1.456435,0.145272406,0.961973479, C6orf363
ENSG00000154146 - NRGN,19.20337736,0.625351729,0.341113402,1.833266372,0.066762968,0.961973479, C6orf364
ENSG00000164109 - MAD2L1,50.86068865,0.624646555,0.355476488,1.757209201,0.078882158,0.961973479, C6orf365
ENSG00000186038 - HTR3E,17.51146026,0.622557231,0.409774152,1.519269161,0.128694759,0.961973479, C6orf366
ENSG00000196169 - KIF19,8.793494657,0.622501024,0.478924267,1.299790108,0.193672917,0.961973479, C6orf367
ENSG00000111052 - LIN7A,56.24456516,0.621786124,0.366072987,1.698530473,0.089407686,0.961973479, C6orf368
ENSG00000004799 - PDK4,737.6022911,0.621351822,0.304443061,2.040945914,0.041256203,0.961973479, C6orf369
ENSG00000186523 - FAM86B1,7.199728013,0.620743091,0.589217291,1.05350454,0.292109815,0.964309686, C6orf370
ENSG00000155066 - PROM2,256.3567702,0.619482038,0.326568893,1.896941355,0.057835679,0.961973479, C6orf371
ENSG00000176125 - UFSP1,8.747175399,0.618674254,0.286968158,2.15589861,0.031091583,0.961973479, C6orf372
ENSG00000256269 - HMBS,107.757026,0.617067701,0.258871651,2.383682019,0.017140406,0.961973479, C6orf373
